ANO,PRECIPITACAO_TOTAL,TEMPERATURA_MEDIA,UMIDADE_MEDIA
2008,943.2,21.820859614267523,71.0936847007825
2010,767.0,21.627660858893464,73.6902542296968
2012,817.8000000000001,22.513465377467796,66.60426748682137
2014,942.0,22.092162614279903,72.6576156102344
2016,1145.4,21.402025546707126,73.99451453447962
2018,1197.6,21.133154068527052,72.89224057006315
2020,409.0,22.273387932668403,67.21520896315126
2022,553.8,21.90509821830069,67.27040051495713
