ANO_MES,PRECIPITACAO_TOTAL,TEMPERATURA_MEDIA,UMIDADE_MEDIA
2007-06,35.6,14.88495077355837,73.38959212376933
2007-07,161.2,11.044864864864865,78.60945945945946
2007-08,65.8,13.134636118598385,80.69811320754717
2007-09,319.2,18.349305555555556,76.24305555555556
2009-04,5.6,20.366805555555555,65.49305555555556
2009-05,164.4,17.059543010752687,72.2741935483871
2009-06,45.6,11.30638888888889,80.98333333333333
2009-07,129.2,10.772580645161293,77.55779569892474
2009-08,268.6,15.409274193548388,77.85483870967742
2009-09,353.2,15.090694444444445,84.30555555555556
2011-04,234.6,19.504583333333333,73.70277777777778
2011-05,103.2,15.316464237516868,79.09851551956815
2011-06,166.8,12.411666666666664,81.6763888888889
2011-07,210.8,12.664333781965007,81.11170928667563
2011-08,202.8,13.679569892473118,81.75940860215054
2011-09,49.4,15.95486111111111,72.825
2013-04,124.4,18.872739916550763,70.0653685674548
2013-05,122.2,15.295564516129032,76.98790322580645
2013-06,70.4,13.81267409470752,84.4275766016713
2013-07,72.8,12.55908479138627,78.03768506056528
2013-08,183.0,11.79462365591398,79.04166666666667
2013-09,127.2,15.345,77.7125
2015-04,204.8,19.29347222222222,73.74166666666666
2015-05,195.0,16.246908602150537,80.66935483870968
2015-06,270.8,14.265694444444444,81.0111111111111
2015-07,245.6,13.561290322580646,86.13575268817205
2015-08,99.8,17.852893674293405,74.59488559892328
2015-09,141.0,16.195416666666667,75.9375
2017-04,253.2,18.108194444444443,74.42222222222222
2017-05,409.4,16.36720430107527,85.59408602150538
2017-06,138.2,14.197638888888887,80.27361111111111
2017-07,10.2,14.775908479138629,65.03768506056528
2017-08,118.2,15.3875,74.38306451612904
2017-09,102.6,19.290277777777774,73.89444444444445
2019-04,110.4,20.09319444444445,78.00833333333334
2019-05,305.4,16.846236559139786,86.54838709677419
2019-06,62.4,16.295555555555556,76.41388888888889
2019-07,129.0,12.004704301075268,78.33736559139786
2019-08,75.2,13.213575268817204,76.04166666666667
2019-09,3.4,9.84074074074074,72.03703703703704
2021-04,46.4,19.03736111111111,71.67777777777778
2021-05,215.4,14.039516129032258,74.65322580645162
2021-06,138.6,12.684166666666668,83.13194444444444
2021-07,14.0,12.457795698924732,70.77284946236558
2021-08,164.2,15.617741935483872,75.71102150537635
2021-09,166.2,16.956805555555555,82.10416666666667
