ANO_MES,PRECIPITACAO_TOTAL,TEMPERATURA_MEDIA,UMIDADE_MEDIA
2007-10,219.2,19.9814266487214,78.1870794078062
2007-11,101.8,20.03565768621236,62.366085578446906
2007-12,66.4,23.73709677419355,63.16263440860215
2008-01,125.8,23.361155913978497,69.12096774193549
2008-02,80.2,22.548988439306356,72.92196531791907
2008-03,78.8,21.61655450874832,76.64199192462988
2008-10,413.6,18.326344086021503,78.62231182795699
2008-11,149.6,21.96875,65.3638888888889
2008-12,95.2,23.10336473755047,63.89098250336474
2009-01,144.2,21.815456989247313,75.22446236559139
2009-02,59.2,22.93407738095238,78.64285714285714
2009-03,14.0,22.09973082099596,76.65814266487214
2009-10,131.4,18.479027777777777,75.1
2009-11,381.6,23.122638888888886,78.025
2009-12,148.0,23.525134408602153,73.84005376344086
2010-01,258.2,23.195956873315367,81.05795148247978
2010-02,109.2,23.986904761904764,80.41964285714286
2010-03,55.4,22.109017496635264,77.9313593539704
2010-10,89.6,17.205779569892474,72.15994623655914
2010-11,84.39999999999999,20.455,61.543055555555554
2010-12,170.2,22.813306451612902,69.02956989247312
2011-01,69.2,24.035483870967745,77.96505376344086
2011-02,322.0,22.738690476190477,84.86458333333333
2011-03,215.4,21.146457765667577,77.96185286103542
2011-10,196.0,18.796635262449527,72.28532974427995
2011-11,83.0,21.524166666666662,61.87638888888889
2011-12,24.4,22.313978494623655,59.971774193548384
2012-01,47.4,24.064872139973083,63.43472409152086
2012-02,0.0,25.805882352941175,63.23529411764706
2012-03,11.4,19.7,61.653944020356235
2012-10,297.0,19.1127688172043,77.78225806451613
2012-11,83.4,22.729166666666668,59.43055555555556
2012-12,378.6,23.668102288021537,74.08882907133244
2013-01,95.0,22.03454301075269,71.95161290322581
2013-02,127.0,21.969494047619047,78.85119047619048
2013-03,203.6,19.172727272727272,79.71349862258953
2013-10,129.2,18.285464333781967,70.86944818304173
2013-11,140.2,21.88458333333333,64.325
2013-12,144.20000000000002,24.212096774193547,65.96236559139786
2014-01,195.4,23.71424731182796,76.75
2014-02,157.6,23.46220238095238,74.19940476190476
2014-03,139.4,20.568010752688178,76.16801075268818
2014-10,217.0,20.27200538358008,73.17227456258412
2014-11,77.2,22.044305555555557,64.25277777777778
2014-12,155.4,22.49220430107527,71.40322580645162
2015-01,177.0,22.634139784946235,80.47849462365592
2015-02,154.6,22.288988095238096,80.84821428571429
2015-03,105.4,21.761021505376345,76.58064516129032
2015-10,194.4,18.517473118279568,77.84677419354838
2015-11,163.6,20.004583333333333,74.75833333333334
2015-12,512.4,21.933870967741935,80.03629032258064
2016-01,193.2,23.99744279946164,73.74966352624496
2016-02,108.0,23.357040229885055,82.35201149425288
2016-03,195.0,20.148118279569893,79.77822580645162
2016-10,317.8,18.12983870967742,73.88709677419355
2016-11,198.8,20.200277777777774,63.61944444444445
2016-12,132.6,22.579435483870967,70.58064516129032
2017-01,229.8,22.57755376344086,80.81989247311827
2017-02,158.0,22.70654761904762,82.35267857142857
2017-03,157.4,21.39475806451613,76.99596774193549
2017-10,174.6,18.456989247311828,73.53091397849462
2017-11,196.0,19.94888888888889,60.84861111111111
2017-12,102.8,23.053763440860216,68.5510752688172
2018-01,361.2,22.054435483870968,78.2513440860215
2018-02,82.8,21.355505952380952,76.61011904761905
2018-03,240.4,20.97728494623656,75.9758064516129
2018-10,179.2,18.45685483870968,74.11827956989248
2018-11,257.6,21.720972222222223,65.62638888888888
2018-12,76.4,22.233870967741936,66.77150537634408
2019-01,266.2,23.731048387096777,79.75403225806451
2019-02,113.0,21.52782738095238,77.37053571428571
2019-03,111.8,20.351413189771197,74.69179004037684
2019-10,128.0,20.838839285714283,60.75
2019-12,36.6,23.79422043010753,58.401881720430104
2020-01,144.2,23.385752688172044,74.47177419354838
2020-02,33.8,22.217241379310344,73.26724137931035
2020-03,19.6,23.819324324324324,60.32297297297297
2020-10,37.8,19.976344086021506,64.50268817204301
2020-11,54.0,21.362447844228097,62.426981919332405
2020-12,119.6,22.879217273954115,68.29959514170041
2021-01,193.6,22.551131221719455,80.64856711915536
2021-02,65.2,21.27261904761905,78.69642857142857
2021-03,104.0,21.06760752688172,79.79704301075269
2021-10,238.4,18.469354838709677,73.07661290322581
2021-11,22.6,22.050906555090656,62.58577405857741
2021-12,57.0,23.766576819407007,61.08355795148248
2022-01,60.0,25.77638326585695,62.38461538461539
2022-02,96.8,23.953662182361732,64.67414050822123
2022-03,184.4,20.69541160593792,78.64912280701755
2022-10,107.2,17.081586021505377,75.48521505376344
2022-11,37.2,20.0943342776204,60.1657223796034
2022-12,68.2,23.82921195652174,62.26358695652174
