ANO_MES,PRECIPITACAO_TOTAL,TEMPERATURA_MEDIA,UMIDADE_MEDIA
2008-04,107.4,18.48236111111111,72.38888888888889
2008-05,75.0,15.101780821917806,72.01917808219179
2008-06,206.2,12.097214484679665,80.91364902506963
2008-07,83.8,16.197849462365593,78.03763440860214
2008-08,126.0,14.784408602150538,80.91397849462365
2008-09,75.8,14.166805555555555,75.75277777777778
2010-04,186.2,18.94402777777778,72.59027777777777
2010-05,147.0,14.865725806451614,83.6263440860215
2010-06,117.4,14.155694444444444,80.71666666666667
2010-07,217.0,13.10268817204301,81.12903225806451
2010-08,24.0,13.324764468371466,79.0107671601615
2010-09,288.6,15.959583333333333,81.75
2012-04,55.4,18.76314325452017,69.68984700973574
2012-05,20.0,16.95712365591398,69.38037634408602
2012-06,60.4,13.695,78.75972222222222
2012-07,189.6,11.965456989247311,77.90322580645162
2012-08,62.0,17.22054054054054,76.48918918918919
2012-09,197.6,16.607916666666668,75.48611111111111
2014-04,142.0,19.2975,74.6763888888889
2014-05,244.6,15.047043010752688,83.52956989247312
2014-06,349.2,13.566527777777775,85.2
2014-07,166.8,13.800672043010753,79.30645161290323
2014-08,80.8,14.971774193548388,75.01209677419355
2014-09,348.6,16.9525,83.62222222222222
2016-04,133.6,20.75777777777778,77.5111111111111
2016-05,50.2,13.614381720430108,82.26344086021506
2016-06,7.0,10.366666666666667,75.43333333333334
2016-07,130.2,12.98521505376344,79.93682795698925
2016-08,112.8,14.615881561238224,77.43606998654106
2016-09,55.0,14.6,72.7375
2018-04,54.6,21.794871794871796,72.48878205128206
2018-05,102.4,16.343413978494624,78.09005376344086
2018-06,82.4,11.723611111111111,83.24861111111112
2018-07,72.2,12.879569892473118,84.00940860215054
2018-08,88.2,11.774966352624494,80.50605652759084
2018-09,178.0,17.136527777777776,80.13055555555556
2020-04,38.2,18.45271210013908,63.71627260083449
2020-05,204.0,14.976881720430107,72.02016129032258
2020-06,279.4,14.971944444444444,81.81388888888888
2020-07,273.4,12.362903225806452,80.47043010752688
2020-08,107.6,15.1372311827957,73.3763440860215
2020-09,83.6,16.79347222222222,77.29722222222222
2022-04,196.4,18.100416666666664,79.07083333333334
2022-05,217.0,13.499731182795696,84.96774193548387
2022-06,195.2,11.897486033519554,84.18715083798882
2022-07,110.6,16.73360433604336,76.34552845528455
2022-08,88.6,13.580323450134772,79.66172506738545
2022-09,75.0,14.176527777777778,77.93611111111112
